"facid","measureid","rating","answer_percent","mean_value","start_date"
"110018","H_BATH_HELP_A_P","Not Applicable","57","Not Applicable","2021-07-01"
"110018","H_BATH_HELP_SN_P","Not Applicable","22","Not Applicable","2021-07-01"
"110018","H_BATH_HELP_U_P","Not Applicable","21","Not Applicable","2021-07-01"
"110018","H_CALL_BUTTON_A_P","Not Applicable","53","Not Applicable","2021-07-01"
"110018","H_CALL_BUTTON_SN_P","Not Applicable","18","Not Applicable","2021-07-01"
"110018","H_CALL_BUTTON_U_P","Not Applicable","29","Not Applicable","2021-07-01"
"110018","H_CLEAN_HSP_A_P","Not Applicable","64","Not Applicable","2021-07-01"
"110018","H_CLEAN_HSP_SN_P","Not Applicable","15","Not Applicable","2021-07-01"
"110018","H_CLEAN_HSP_U_P","Not Applicable","21","Not Applicable","2021-07-01"
"110018","H_CLEAN_LINEAR_SCORE","Not Applicable","Not Applicable","82","2021-07-01"
"110018","H_CLEAN_STAR_RATING","3","Not Applicable","Not Applicable","2021-07-01"
"110018","H_COMP_1_A_P","Not Applicable","73","Not Applicable","2021-07-01"
"110018","H_COMP_1_LINEAR_SCORE","Not Applicable","Not Applicable","88","2021-07-01"
"110018","H_COMP_1_SN_P","Not Applicable","7","Not Applicable","2021-07-01"
"110018","H_COMP_1_STAR_RATING","2","Not Applicable","Not Applicable","2021-07-01"
"110018","H_COMP_1_U_P","Not Applicable","20","Not Applicable","2021-07-01"
"110018","H_COMP_2_A_P","Not Applicable","77","Not Applicable","2021-07-01"
"110018","H_COMP_2_LINEAR_SCORE","Not Applicable","Not Applicable","89","2021-07-01"
"110018","H_COMP_2_SN_P","Not Applicable","8","Not Applicable","2021-07-01"
"110018","H_COMP_2_STAR_RATING","3","Not Applicable","Not Applicable","2021-07-01"
"110018","H_COMP_2_U_P","Not Applicable","15","Not Applicable","2021-07-01"
"110018","H_COMP_3_A_P","Not Applicable","55","Not Applicable","2021-07-01"
"110018","H_COMP_3_LINEAR_SCORE","Not Applicable","Not Applicable","77","2021-07-01"
"110018","H_COMP_3_SN_P","Not Applicable","20","Not Applicable","2021-07-01"
"110018","H_COMP_3_STAR_RATING","2","Not Applicable","Not Applicable","2021-07-01"
"110018","H_COMP_3_U_P","Not Applicable","25","Not Applicable","2021-07-01"
"110018","H_COMP_5_A_P","Not Applicable","54","Not Applicable","2021-07-01"
"110018","H_COMP_5_LINEAR_SCORE","Not Applicable","Not Applicable","71","2021-07-01"
"110018","H_COMP_5_SN_P","Not Applicable","26","Not Applicable","2021-07-01"
"110018","H_COMP_5_STAR_RATING","2","Not Applicable","Not Applicable","2021-07-01"
"110018","H_COMP_5_U_P","Not Applicable","20","Not Applicable","2021-07-01"
"110018","H_COMP_6_LINEAR_SCORE","Not Applicable","Not Applicable","77","2021-07-01"
"110018","H_COMP_6_N_P","Not Applicable","23","Not Applicable","2021-07-01"
"110018","H_COMP_6_STAR_RATING","2","Not Applicable","Not Applicable","2021-07-01"
"110018","H_COMP_6_Y_P","Not Applicable","77","Not Applicable","2021-07-01"
"110018","H_COMP_7_A","Not Applicable","50","Not Applicable","2021-07-01"
"110018","H_COMP_7_D_SD","Not Applicable","11","Not Applicable","2021-07-01"
"110018","H_COMP_7_LINEAR_SCORE","Not Applicable","Not Applicable","75","2021-07-01"
"110018","H_COMP_7_SA","Not Applicable","39","Not Applicable","2021-07-01"
"110018","H_COMP_7_STAR_RATING","2","Not Applicable","Not Applicable","2021-07-01"
"110018","H_CT_MED_A","Not Applicable","44","Not Applicable","2021-07-01"
"110018","H_CT_MED_D_SD","Not Applicable","9","Not Applicable","2021-07-01"
"110018","H_CT_MED_SA","Not Applicable","47","Not Applicable","2021-07-01"
"110018","H_CT_PREFER_A","Not Applicable","55","Not Applicable","2021-07-01"
"110018","H_CT_PREFER_D_SD","Not Applicable","13","Not Applicable","2021-07-01"
"110018","H_CT_PREFER_SA","Not Applicable","32","Not Applicable","2021-07-01"
"110018","H_CT_UNDER_A","Not Applicable","50","Not Applicable","2021-07-01"
"110018","H_CT_UNDER_D_SD","Not Applicable","11","Not Applicable","2021-07-01"
"110018","H_CT_UNDER_SA","Not Applicable","39","Not Applicable","2021-07-01"
"110018","H_DISCH_HELP_N_P","Not Applicable","23","Not Applicable","2021-07-01"
"110018","H_DISCH_HELP_Y_P","Not Applicable","77","Not Applicable","2021-07-01"
"110018","H_DOCTOR_EXPLAIN_A_P","Not Applicable","71","Not Applicable","2021-07-01"
"110018","H_DOCTOR_EXPLAIN_SN_P","Not Applicable","9","Not Applicable","2021-07-01"
"110018","H_DOCTOR_EXPLAIN_U_P","Not Applicable","20","Not Applicable","2021-07-01"
"110018","H_DOCTOR_LISTEN_A_P","Not Applicable","74","Not Applicable","2021-07-01"
"110018","H_DOCTOR_LISTEN_SN_P","Not Applicable","8","Not Applicable","2021-07-01"
"110018","H_DOCTOR_LISTEN_U_P","Not Applicable","18","Not Applicable","2021-07-01"
"110018","H_DOCTOR_RESPECT_A_P","Not Applicable","84","Not Applicable","2021-07-01"
